game_id,name,maxplayers,minage,yearpublished,average,minplayers,minplaytime,maxplaytime,language_dependence,pos,boardgameartist,boardgamecategory,boardgamedesigner,boardgamemechanic,averageweight,usersrated,player_spread,time_spread,discrete_years,discrete_weights
36,Federation & Empire,8,12,1986,6.23239,2,300,300,Extensive,4123,"William H. Keith, Jr.,David Martin (II)","Science Fiction,Wargame",Stephen V. Cole,Hex-and-Counter,4.4098,355,6,0,1985,4.5
40,Borderlands,4,12,1982,6.77517,2,120,120,Some,3359,"Frank Frazetta,Dean Morrissey","Bluffing,Civilization,Fantasy,Negotiation,Political","Bill Eberle,Jack Kittredge,Peter Olotka","Area Movement,Trading",2.7727,254,2,0,1980,3
41,Can't Stop,4,9,1980,6.85659,2,30,30,No,567,"Gabriel Laulunen (II),Walter Pepperle,Klaus Wilinski",Dice,Sid Sackson,"Dice Rolling,Press Your Luck",1.1683,9095,2,0,1980,1
42,Tigris & Euphrates,4,12,1997,7.72379,2,90,90,No,57,"Bascu,Christine Conrad,Doris Matthäus,Tom Thiel,Ricarda Thiel,Stephen Graham Walsh","Abstract Strategy,Ancient,Civilization,Territory Building",Reiner Knizia,"Area Control / Area Influence,Hand Management,Set Collection,Tile Placement",3.5309,20166,2,0,1995,3.5
49,Mamma Mia!,5,10,1999,6.48827,2,30,30,No,1149,Franz Vohwinkel,Card Game,Uwe Rosenberg,"Hand Management,Memory",1.3629,4824,3,0,2000,1.5
50,Lost Cities,2,10,1999,7.14784,2,30,30,No,275,"Grafik Studio Krüger,Michaela Kienle,Anke Pohl,Thilo Rick,Claus Stephan,Franz Vohwinkel","Card Game,Exploration",Reiner Knizia,"Hand Management,Set Collection",1.5156,26686,0,0,2000,1.5
54,Tikal,4,13,1999,7.34313,2,90,90,No,188,"Mariusz Gandzel,Franz Vohwinkel","Exploration,Territory Building","Michael Kiesling,Wolfgang Kramer","Action Point Allowance System,Area Control / Area Influence,Auction/Bidding,Grid Movement,Set Collection,Tile Placement",2.834,13674,2,0,2000,3
62,Curse of the Mummy's Tomb,4,12,1988,5.22768,1,120,120,NA,13063,"Dave Andrews,Gary Chalk,Trish Morrison,Aly Morrison,James Warhola","Adventure,Ancient,Horror",Stephen Hand,Action / Movement Programming,1.913,298,3,0,1990,2
71,Civilization,7,12,1980,7.52258,2,360,360,Some,185,"Ed Dovey,Charles Kibler,Rodger B. MacGowan,Guillaume Rohmer,Dale Sheaffer","Ancient,Civilization,Economic,Negotiation","Francis Tresham,Mick (Mike) Uhl","Area Control / Area Influence,Area Movement,Hand Management,Set Collection,Trading",3.6667,6178,5,0,1980,3.5
72,Verräter,4,12,1998,6.74051,3,60,60,No,1168,Marcel-André Casasola Merkle,"Card Game,Political",Marcel-André Casasola Merkle,"Card Drafting,Hand Management,Modular Board,Partnerships,Variable Player Powers",2.5955,1709,1,0,2000,2.5
74,Apples to Apples,10,12,1999,5.95458,4,30,30,Extensive,2640,"(Uncredited),John Kovalic","Card Game,Humor,Party Game","Matthew Kirby,Mark Alan Osterhaus","Hand Management,Simultaneous Action Selection,Voting",1.1686,14611,6,0,2000,1
77,EastFront,2,12,1991,7.6713,2,240,240,No,1111,Eric Hotz,"Wargame,World War II","Craig Besinque,Tom Dalgliesh","Dice Rolling,Secret Unit Deployment,Simulation",3.618,626,0,0,1990,3.5
78,WestFront,2,12,1992,6.89085,2,240,240,NA,3736,Eric Hotz,"Wargame,World War II",Craig Besinque,"Dice Rolling,Secret Unit Deployment",3.5,177,0,0,1990,3.5
87,Victory:  The Blocks of War,6,12,1998,6.3167,2,180,180,NA,3397,Eric Hotz,"Wargame,World War II","Tom Dalgliesh,Grant Dalgliesh","Dice Rolling,Hex-and-Counter,Secret Unit Deployment",2.6154,402,4,0,2000,2.5
91,Paths of Glory,2,14,1999,8.02578,2,480,480,Extensive,83,"Rodger B. MacGowan,Mark Simonitch","Wargame,World War I",Ted Raicer,"Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement",3.8057,3596,0,0,2000,4
93,El Grande,5,12,1995,7.80446,2,60,120,Moderate,50,Doris Matthäus,Renaissance,"Wolfgang Kramer,Richard Ulrich","Area Control / Area Influence,Area Movement,Auction/Bidding,Card Drafting,Hand Management,Memory,Simultaneous Action Selection",3.0858,18423,3,60,1995,3
98,Axis & Allies,5,12,1981,6.53855,2,180,180,Some,1133,Jim Butcher (II),"Economic,Wargame,World War II","Larry Harris, Jr.","Area Movement,Dice Rolling,Partnerships",3.0345,8747,3,0,1980,3
99,Fortress America,4,12,1986,6.6939,2,180,180,Some,1186,NA,"Science Fiction,Wargame",NA,"Area Movement,Dice Rolling",2.6352,2144,2,0,1985,2.5
103,Titan,6,12,1980,6.96153,2,30,240,No,696,"Mike Doyle (I),Kurt Miller,Kenn Nishiuye,David A. Trampier,Chris White (I)","Fantasy,Fighting","Jason B. McAllister,David A. Trampier","Dice Rolling,Player Elimination,Roll / Spin and Move,Secret Unit Deployment,Set Collection",3.4561,3570,4,210,1980,3.5
119,Kingdoms,4,9,1994,6.6327,2,45,45,No,962,"Kevin Childress,Anders Finér,Eric Lofgren,Henning Ludvigsen,Jim Pavelec,Peter Tikos,Franz Vohwinkel","Abstract Strategy,Fantasy,Medieval",Reiner Knizia,Tile Placement,1.8265,3995,2,0,1995,2
121,Dune,6,12,1979,7.61137,2,60,180,Moderate,182,"Jean Baer,Fabrice Lamy,Christophe Peulvast,Mick (Mike) Uhl,Olivier Vatine,Chris White (I)","Bluffing,Fighting,Negotiation,Novel-based,Political,Science Fiction","Bill Eberle,Jack Kittredge,Peter Olotka","Area Control / Area Influence,Area Movement,Auction/Bidding,Hand Management,Partnerships,Variable Player Powers",3.4334,4563,4,120,1980,3.5
124,Primordial Soup,4,12,1997,6.98124,3,90,90,Moderate,578,Doris Matthäus,Prehistoric,"Doris Matthäus,Frank Nestel","Dice Rolling,Grid Movement,Player Elimination,Variable Phase Order,Variable Player Powers",2.7298,4240,1,0,1995,2.5
130,Iron Dragon,6,12,1994,6.95603,2,240,240,Some,1143,"Larry Elmore,Chris Vande Voort","Fantasy,Trains,Transportation","Darwin Bromley,Tom Wham","Crayon Rail System,Pick-up and Deliver",2.95,1372,4,0,1995,3
135,Kontor,4,12,1999,5.97458,2,60,60,No,3889,"Olivier Frot,Franz Vohwinkel","City Building,Nautical,Renaissance",Michael Schacht,"Area Control / Area Influence,Commodity Speculation,Tile Placement",2.2105,688,2,0,2000,2
140,Pit,8,7,1903,6.40099,3,30,90,No,1263,"Randy Asher,Paul Couture,Olivier Fagnère,Nick the Rat,Peekasso,Paul T.,Thoren","Card Game,Economic,Party Game,Real-time","Edgar Cayce,Harry Gavitt,George S. Parker","Set Collection,Trading",1.163,6420,5,60,1905,1
150,PitchCar,8,6,1995,7.24935,2,30,30,No,290,Jean du Poël,"Action / Dexterity,Children's Game,Party Game,Racing,Sports",Jean du Poël,Modular Board,1.1281,7562,6,0,1995,1
157,Eurorails,6,10,1990,7.05898,2,180,240,No,938,"Mike Atkinson,Mari Paz Pasicolan-Cabardo,Ike Scott,Stefan Sierhej","Economic,Trains,Transportation","Darwin Bromley,Steven Courtemanche,Larry Roznai","Crayon Rail System,Pick-up and Deliver,Route/Network Building",2.7589,1561,4,60,1990,3
162,The Awful Green Things From Outer Space,2,12,1979,6.49136,2,90,90,Some,1473,"Carl Anderson,Jeffrey D. George,Beverly Hale,Tom Wham","Science Fiction,Wargame",Tom Wham,"Area Movement,Dice Rolling",1.8321,2263,0,0,1980,2
165,Black Box,2,10,1977,6.35521,1,20,20,No,2562,Franz-Josef Schulte,"Abstract Strategy,Deduction,Puzzle",Eric Solomon,"Line Drawing,Pattern Recognition,Secret Unit Deployment",2.0986,737,1,0,1975,2
168,Empire Builder,6,12,1982,6.91675,2,180,180,Some,862,"Peter Y. Bromley,Jim Clouse,Morgan Dontanville,Pete Fenlon,Jim Malik,Drew Perkett,Louis Rexing,Mike Russo,Stefan Sierhej,Chris Vande Voort","Economic,Trains,Transportation","Darwin Bromley,Bill Fawcett","Action / Movement Programming,Area Enclosure,Crayon Rail System,Pick-up and Deliver,Route/Network Building",2.6331,2482,4,0,1980,2.5
170,Family Business,6,8,1982,6.1159,2,30,30,Some,2183,"David B. Bromley,Mark Bromley,Antonio Dessi,Franck Dion,Drew Perkett","Card Game,Mafia",David B. Bromley,"Hand Management,Player Elimination,Take That",1.3297,3409,4,0,1980,1.5
172,For Sale,6,8,1997,7.22213,3,20,20,No,240,"Óscar Aguado,Alvin Madden,Catell Ruz,Uros Vuckovic,Klaus Wilinski","Card Game,Economic",Stefan Dorra,"Auction/Bidding,Hand Management",1.2864,15544,3,0,1995,1.5
173,Formula Dé,10,10,1991,6.99229,2,120,120,No,519,"Bernard Bittler,Elisabeth Daniel,Babbette Huckaba,Guillaume Rohmer","Racing,Sports","Laurent Lavaur,Eric Randall","Grid Movement,Partnerships,Player Elimination,Press Your Luck,Roll / Spin and Move,Simulation",1.9671,7085,8,0,1990,2
181,Risk,6,10,1959,5.57906,2,120,120,No,12593,(Uncredited),"Negotiation,Territory Building,Wargame","Albert Lamorisse,Michael I. Levin","Area Control / Area Influence,Area Movement,Dice Rolling,Partnerships,Player Elimination,Set Collection",2.1072,21836,4,0,1960,2
193,Fill or Bust,10,8,1981,5.69269,2,30,30,No,8154,Christof Tisch,Dice,(Uncredited),"Dice Rolling,Press Your Luck",1.175,401,8,0,1980,1
194,Groo: The Game,4,10,1997,6.26817,2,45,45,Some,2919,Sergio Aragonés,"Card Game,City Building,Comic Book / Strip,Fantasy","Sergio Aragonés,Ken Whitman","Dice Rolling,Take That",1.5072,752,2,0,1995,1.5
196,Kremlin,6,12,1986,6.99614,3,75,75,Some,752,"Res Brandenberger,Clay Gardner,Rasenjin Hayami,Charles Kibler,Ander Plana","Negotiation,Political",Urs Hostettler,"Secret Unit Deployment,Voting",2.8327,2452,3,0,1985,3
215,Tichu,10,10,1991,7.60888,3,60,60,No,104,"Res Brandenberger,François Bruel,Philippe Guérin,Chris Quilliams,Valerie Vekemans,Franz Vohwinkel",Card Game,Urs Hostettler,"Betting/Wagering,Hand Management,Partnerships,Trick-taking",2.3499,10556,7,0,1990,2.5
217,A la carte,4,13,1989,6.50098,2,30,30,No,1319,"Jochen Eeuwyk,Christof Tisch","Action / Dexterity,Party Game",Karl-Heinz Schmiel,"Action Point Allowance System,Dice Rolling,Set Collection",1.3174,2629,2,0,1990,1.5
228,Lunch Money,4,13,1996,5.64856,2,20,20,Some,8605,Andrew Yates,"Card Game,Fighting","John Nephew,Charlie Wiedman","Hand Management,Take That",1.5153,2362,2,0,1995,1.5
234,Hannibal: Rome vs. Carthage,2,12,1996,7.82769,2,40,200,Extensive,109,"Joe Amoral,Mike Doyle (I),Rick Gondeck,Paweł Kaczmarczyk,Kurt Miller,Mark Simonitch,Rafal Szymanski,Piotr Słaby","Ancient,Political,Wargame",Mark Simonitch,"Area Control / Area Influence,Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement,Simulation",3.4154,4305,0,160,1995,3.5
242,Junta,7,16,1978,6.76122,2,240,240,Extensive,859,"Larry Catalano,Peter Corless,Stephen Crane,Stefan Dick,James Dunn,Martin Hoffmann,Jon Rettich,Claus Stephan","Bluffing,Humor,Mafia,Negotiation,Political,Wargame","Eric Goldberg,Ben Grossman,Steve Marsh,Steven Marsh,Vincent Tsao,Nikola Vrtis","Area Movement,Dice Rolling,Hand Management,Simultaneous Action Selection,Trading,Variable Player Powers,Voting",2.852,4450,5,0,1980,3
243,Advanced Squad Leader,2,14,1985,7.93771,2,120,480,Extensive,165,"Nicolás Eskubi,Charles Kibler,Rodger B. MacGowan","Wargame,World War II",Don Greenwood,"Auction/Bidding,Dice Rolling,Hex-and-Counter,Modular Board,Press Your Luck,Secret Unit Deployment,Simulation,Time Track,Variable Player Powers",4.6906,2938,0,360,1985,4.5
256,Mississippi Queen,5,10,1997,6.3835,3,45,45,No,1434,Franz Vohwinkel,"Nautical,Racing",Werner Hodel,"Grid Movement,Modular Board,Pick-up and Deliver",1.6962,3273,2,0,1995,1.5
257,Kill Doctor Lucky,8,12,1996,6.15279,3,45,45,Some,1947,"James Ernest,Israel Evans,James Ryman","Humor,Murder/Mystery",James Ernest,"Card Drafting,Hand Management,Point to Point Movement",1.654,5268,5,0,1995,1.5
258,Fluxx,6,8,1997,5.69886,2,5,30,Extensive,5741,"Raúl Castellanos,Michael Hays,Naomi Kageyama,Andrew Looney,Barbara Spelger",Card Game,"Andrew Looney,Kristin Looney","Hand Management,Set Collection",1.3926,12304,4,25,1995,1.5
270,Svea Rike,5,12,1997,6.35628,2,120,120,Extensive,3231,NA,"Civilization,Economic","Dan Glimne,Henrik Strandberg","Area Control / Area Influence,Card Drafting",2.5278,487,3,0,1995,2.5
278,Catan Card Game,2,10,1996,6.77393,2,90,90,Extensive,657,"Tanja Donner,Pete Fenlon,Jason Hawkins,Matt Schwabel,Klaus Teuber,Franz Vohwinkel,Stephen Graham Walsh","Card Game,City Building,Territory Building",Klaus Teuber,"Card Drafting,Dice Rolling,Hand Management,Trading",2.4527,11105,0,0,1995,2.5
293,Bamboleo,7,6,1996,6.40881,2,30,30,No,2006,"Oliver Richtberg,Jacques Zeimet","Action / Dexterity,Party Game",Jacques Zeimet,Press Your Luck,1.2022,1170,5,0,1995,1
299,De Bellis Antiquitatis,6,14,1990,7.14559,2,60,60,No,1643,"Ingo Martin,Josef Ochmann","Ancient,Book,Medieval,Miniatures,Wargame","Philip C. Barker,Sue Laflin Barker,Richard Bodley Scott","Action Point Allowance System,Dice Rolling,Modular Board",2.8333,563,4,0,1990,3
310,Wizard's Quest,6,12,1979,6.16843,2,180,180,Moderate,2663,Chris White (I),"Adventure,Fantasy,Wargame","Willis P. Carpenter,Garrett J. Donner,Michael S. Steer,Mick (Mike) Uhl","Area Movement,Variable Phase Order",2.2848,1244,4,0,1980,2.5
312,Landlord!,6,10,1992,5.87488,2,10,10,Extensive,3985,"Wolfgang Panning,Thomas Schäfer,Franz Vohwinkel,Patrick Wilhelmi","Card Game,Humor",Friedemann Friese,"Hand Management,Take That",1.5104,888,4,0,1990,1.5
330,Block Mania,2,14,1987,6.42973,2,120,120,Some,3245,"Dave Andrews,Chris Baker,Colin Dixon,Brett Ewins","Comic Book / Strip,Science Fiction,Wargame",Richard Halliwell,"Action Point Allowance System,Dice Rolling",2.6875,374,0,0,1985,2.5
364,Samarkand,5,9,1980,6.48518,2,30,30,No,2258,"James Guerney,Doris Matthäus","Arabian,Economic",Sid Sackson,"Pick-up and Deliver,Set Collection,Trading",1.9481,718,3,0,1980,2
384,TurfMaster,8,10,1998,7.22221,2,75,75,No,1197,"Stefan Niehues,Peter Röseler","Animals,Racing,Sports",Albrecht Nolte,"Dice Rolling,Hand Management,Roll / Spin and Move",1.9775,826,6,0,2000,2
403,Elk Fest,2,8,1999,6.17664,2,15,15,No,2290,Franz Vohwinkel,"Action / Dexterity,Animals,Racing",Hermann Huber,Modular Board,1.0511,1617,0,0,2000,1
408,Zoon,2,8,1999,5.4502,2,30,30,Moderate,12006,Robert Cepo,"Animals,Bluffing,Card Game,Fighting","Migou Auteurs,Robert Cepo,Nicolas Pilartz","Area Movement,Secret Unit Deployment",1.5714,255,0,0,2000,1.5
421,1830: Railways & Robber Barons,7,14,1986,7.80835,2,180,360,Some,144,"Mike Atkinson,Jared Blando,Charles Kibler,James Talbot,Mark Zug","Economic,Trains,Transportation",Francis Tresham,"Auction/Bidding,Route/Network Building,Stock Holding,Tile Placement",4.1547,3356,5,180,1985,4
422,1835,7,16,1990,7.01206,3,360,360,Some,1709,"(Uncredited),Bernd Brunnhofer","Economic,Trains","Michael Meier-Bachl,Francis Tresham","Auction/Bidding,Route/Network Building,Stock Holding",3.967,619,4,0,1990,4
424,1870,6,14,1992,7.42473,2,360,360,No,1024,"John Kamacher,Mike Russo,Chris Vande Voort","Economic,Trains",Bill Dixon,"Auction/Bidding,Route/Network Building,Stock Holding",4.1721,806,4,0,1990,4
425,Thunder's Edge,5,12,1999,6.22912,2,240,240,Some,6142,NA,"Political,Wargame",Christian T. Petersen,Trading,3.1333,132,3,0,2000,3
432,6 nimmt!,10,8,1994,6.88907,2,45,45,No,533,"(Uncredited),Design Edge,Bill Herrin,Gatis Sluka,Studio Tapiro,Franz Vohwinkel",Card Game,Wolfgang Kramer,"Hand Management,Simultaneous Action Selection",1.2252,11674,8,0,1995,1
436,Canyon,6,10,1997,6.25026,3,45,45,No,2817,Franz Vohwinkel,"Card Game,Racing",Frederick A. Herschler,"Betting/Wagering,Grid Movement,Trick-taking",1.5775,705,3,0,1995,1.5
444,Midnight Party,8,8,1989,6.4341,2,30,30,No,1863,"Nicole Baron,Marek Bláha,Bernard Giroud,Wolfgang Kramer,Franz Vohwinkel","Children's Game,Racing",Wolfgang Kramer,"Dice Rolling,Press Your Luck,Roll / Spin and Move",1.1549,1317,6,0,1990,1
451,Beutelschneider,4,0,1997,6.03429,3,30,30,NA,9798,"Daniel Alles,Guido Paul",Card Game,Mark Sienholz,Trick-taking,1.5,35,1,0,1995,1.5
